the	20510803
of	11682691
and	8060243
in	7858333
to	7391318
a	7062420
is	4566124
1	3397770
on	3251200
for	3075040
2011	2989791
s	2916698
user	2855623
as	2714881
was	2702361
x	2692839
0	2672413
it	2654829
that	2618492
2012	2363848
by	2341278
com	2318025
2	2306667
talk	2240527
i	2239878
date	2236742
link	2215455
utc	2111765
with	2040088
this	2017110
be	1889702
coibot	1869211
title	1839382
not	1779849
from	1764853
at	1733394
align	1709055
domain	1705915
3	1699944
page	1690818
l	1621824
u	1524433
an	1496614
cite	1459295
5	1416142
name	1410377
otherlinks	1372774
he	1351384
4	1308737
ul	1305106
wul	1301313
www	1236232
or	1233578
article	1170070
are	1169763
no	1157436
6	1064578
his	1013649
you	1001596
10	996156
t	979689
first	965228
center	953162
web	940007
accessdate	934712
have	911277
image	910748
flagicon	901329
left	891630
but	883757
publisher	881306
has	868128
new	847324
id	838198
may	837425
time	834605
7	806239
11	806075
which	789933
12	781918
2010	778392
one	760052
also	753191
discussion	751308
w	747258
8	741846
other	729415
20	717350
should	709188
org	703798
r	686716
15	684005
there	673132
wikipedia	668164
place	668020
de	665477
year	662198
m	660596
birth	655537
made	649194
